ff783bc2-6088-4b46-be6a-2191567d6ebb|A person or organization responsible for managing databases or other data sources|dtm|Data manager||
bcacf0f0-fbca-4820-899d-51272c525bb6|A person, family, or organization to whom a resource is dedicated|dte|Dedicatee||
7f4628fa-6ca3-4ea1-a939-0bd0ce3de149|||UF Dedicatee of item, Dedicatee of item USE Dedicatee||
65c0d6fc-837e-46a0-b7bc-14cfc8c59139|A person who writes a dedication, which may be a formal statement or in epistolary or verse form|dto|Dedicator||
205eaa12-5acb-4783-98e3-9a3a37a9ee7f|A person or organization who is accused in a criminal proceeding or sued in a civil proceeding|dfd|Defendant||
32e8fd2e-e003-4637-b184-9df61d96900e|A defendant who takes an appeal from one court or jurisdiction to another to reverse the judgment, usually in a legal action|dft|Defendant-appellant||
e4f85fe9-7ac9-4926-8961-6e449d9fdb62|A defendant against whom an appeal is taken from one court or jurisdiction to another to reverse the judgment, usually in a legal action|dfe|Defendant-appellee||
4bce722c-f4eb-43dd-a776-12e27dfb9bc2|A person who is part of a committee that considers the merit of a thesis, dissertation, or other submission by an academic degree candidate.|dgc|Degree committee member||
e642565b-fbe2-49b1-b5df-ca6c820c178d|A organization granting an academic degree UF Degree grantor Degree grantor, USE Degree granting institution Degree supervisor|dgg|Degree granting institution||
ff5110c5-3524-4623-bd90-a09714aa5246|A person or organization executing technical drawings from others' designs|dln|Delineator||
fd348d18-fdde-4ace-9ca6-51c771104130|An entity depicted or portrayed in a work, particularly in a work of art|dpc|Depicted||
ec5a55da-b041-49a2-80f3-495e066db6d7|||Deponent USE Witness||
3db56145-8d3f-461b-ae1c-13002785b125|A current owner of an item who deposited the item into the custody of another person, family, or organization, while still retaining ownership|dpt|Depositor||
2903d392-6207-4487-9cb0-48021d52be46|A person, family, or organization responsible for creating a design for an object Designer of binding USE Binding designer, Designer of book USE Book designer, Designer of bookjacket USE Bookjacket designer, Designer of cover USE Cover designer, Designer of e-book USE Book designer, Designer of type USE Type designer|dsr|Designer||
fe395d85-6db1-4be7-bc40-b96f3b2a588c|A person responsible for the general management and supervision of a filmed performance, a radio or television program, etc. Director of photography USE Cinematographer|drt|Director||
49f83799-2484-470e-b4cb-b7f8cae18dcc|A person who presents a thesis for a university or higher-level educational degree|dis|Dissertant||
